"","Status","Paper.code","Paper.number","Screening.set","Extraction.set","Paper","Publication.year","Title","DOI","Species.latin","Family","Class","Phylum","Sex.exposed","Fertilisation.mode","Agricultural.importance","Lab.or.field","Animal.origin","Stressor.variation","Habitat","Country.of.origin","Continent.of.origin","Ocean.sea.of.origin","Exposure.duration","Life.stage.of.animal","Lowest.temp.below.10.C.","Constant.or.fluctuating.","Acclimated.","Experiment.code","Sex","Shared.Longevity.","Rearing.temperature","diff","reftemp","treattemp","warm.cool","es_reproduction","v_reproduction","es_longevity","v_longevity"
"1549","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Egg","No","Constant","No","TEMP575A","Female","Female",27,3,27,30,"Warm",-9.106683979,1.136646164,0,0.1
"1550","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Egg","No","Constant","No","TEMP575A","Female","Female",27,8,27,35,"Warm",-17.62380001,3.982479083,-0.668610609,0.105588002
"1551","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Egg","No","Constant","No","TEMP575A","Female","Female",27,13,27,40,"Warm",-20.34769742,5.27535988,-1.33348354,0.122227229
"1552","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Larvae","No","Constant","No","TEMP575B","Female","Female",27,-7,27,20,"Cool",7.383520778,0.781454738,1.98587609,0.149296298
"1553","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Larvae","No","Constant","No","TEMP575B","Female","Female",27,-2,27,25,"Cool",2.481053832,0.176945351,1.766699131,0.139015323
"1554","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Larvae","No","Constant","No","TEMP575B","Female","Female",27,3,27,30,"Warm",-1.335753138,0.122302956,1.102526525,0.115194559
"1555","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Larvae","No","Constant","No","TEMP575B","Female","Female",27,8,27,35,"Warm",-6.126905238,0.569237097,0.400920447,0.102009215
"1556","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Larvae","No","Constant","No","TEMP575B","Female","Female",27,13,27,40,"Warm",-12.67711253,2.108864775,-0.644809475,0.105197241
"1557","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Pupae","No","Constant","No","TEMP575C","Female","Female",27,-7,27,20,"Cool",9.579197405,1.247012786,1.860166677,0.143252751
"1558","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Pupae","No","Constant","No","TEMP575C","Female","Female",27,-2,27,25,"Cool",4.956880195,0.407133266,2.035613912,0.15179655
"1559","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Pupae","No","Constant","No","TEMP575C","Female","Female",27,3,27,30,"Warm",0.865898098,0.109372244,1.841339462,0.142381638
"1560","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Pupae","No","Constant","No","TEMP575C","Female","Female",27,8,27,35,"Warm",-4.447712738,0.347276858,1.108433227,0.115357803
"1561","Good","TEMP575",55,NA,"1B","Firake & Khan, 2014",2014,"Alternating temperatures affect the performance of Trichogramma species","10.1093/jis/14.1.41","Trichogramma poliae","Trichogrammatidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Pupae","No","Constant","No","TEMP575C","Female","Female",27,13,27,40,"Warm",-10.55841881,1.493502598,0.425800569,0.102266327
"1562","Good","TEMP585",544,9,"C","FLETCHER, M.et al.",1990,"LONGEVITY AND FECUNDITY OF MUSCA-DOMESTICA (DIPTERA, MUSCIDAE) AS A FUNCTION OF TEMPERATURE","10.1093/jmedent/27.5.922","Musca domestica","Muscidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","USA","North America",NA,"More than 5 days","Adult","No","Constant","No","TEMP585_A","Female","Female",NA,-5,25,20,"Cool",-6.342054483,0.118103495,3.674690168,0.048507121
"1563","Good","TEMP585",544,9,"C","FLETCHER, M.et al.",1990,"LONGEVITY AND FECUNDITY OF MUSCA-DOMESTICA (DIPTERA, MUSCIDAE) AS A FUNCTION OF TEMPERATURE","10.1093/jmedent/27.5.922","Musca domestica","Muscidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","USA","North America",NA,"More than 5 days","Adult","No","Constant","No","TEMP585_A","Female","Female",NA,5,25,30,"Warm",0.81670482,0.015070766,-3.646104832,0.047962017
"1564","Good","TEMP585",544,9,"C","FLETCHER, M.et al.",1990,"LONGEVITY AND FECUNDITY OF MUSCA-DOMESTICA (DIPTERA, MUSCIDAE) AS A FUNCTION OF TEMPERATURE","10.1093/jmedent/27.5.922","Musca domestica","Muscidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","USA","North America",NA,"More than 5 days","Adult","No","Constant","No","TEMP585_A","Female","Female",NA,10,25,35,"Warm",-1.489847219,0.019115108,-5.5385972,0.093238938
"1568","Good","TEMP587",546,9,"4C","Foerster, L. A.; Butnariu, A. R.",2004,"Development, reproduction, and longevity of Telenomus cyamophylax, egg parasitoid of the velvetbean caterpillar Anticarsia gemmatalis, in relation to temperature","10.1016/S1049-9644(03)00133-6","Telenomus cyamophylax","Platygastridae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP587A","Female","Female",25,-10,25,15,"Cool",-0.318526115,0.101268236,2.44982249,0.175020378
"1569","Good","TEMP587",546,9,"4C","Foerster, L. A.; Butnariu, A. R.",2004,"Development, reproduction, and longevity of Telenomus cyamophylax, egg parasitoid of the velvetbean caterpillar Anticarsia gemmatalis, in relation to temperature","10.1016/S1049-9644(03)00133-6","Telenomus cyamophylax","Platygastridae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP587A","Female","Female",25,-5,25,20,"Cool",-0.282377814,0.100996715,2.051687286,0.152617759
"1570","Good","TEMP587",546,9,"4C","Foerster, L. A.; Butnariu, A. R.",2004,"Development, reproduction, and longevity of Telenomus cyamophylax, egg parasitoid of the velvetbean caterpillar Anticarsia gemmatalis, in relation to temperature","10.1016/S1049-9644(03)00133-6","Telenomus cyamophylax","Platygastridae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP587A","Female","Female",25,5,25,30,"Warm",-0.05784493,0.100041825,-1.386039413,0.124013816
"1571","Good","TEMP589",548,9,"4C","Foray, V.et al.",2011,"Differential thermal performance curves in response to different habitats in the parasitoid Venturia canescens","10.1007/s00114-011-0818-8","Venturia canescens","Ichneumonidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Wild-caught","Experimental","Terrestrial","France","Europe",NA,"More than 5 days","Adult","No","Constant","No","TEMP589A","Female","Female",25,-8,25,17,"Cool",-1.900284407,0.141526349,-2.193661727,0.15549229
"1572","Good","TEMP589",548,9,"4C","Foray, V.et al.",2011,"Differential thermal performance curves in response to different habitats in the parasitoid Venturia canescens","10.1007/s00114-011-0818-8","Venturia canescens","Ichneumonidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Wild-caught","Experimental","Terrestrial","France","Europe",NA,"More than 5 days","Adult","No","Constant","No","TEMP589A","Female","Female",25,5,25,30,"Warm",-0.860082071,0.08791271,-0.073466452,0.080569271
"1573","Good","TEMP589",548,9,"4C","Foray, V.et al.",2011,"Differential thermal performance curves in response to different habitats in the parasitoid Venturia canescens","10.1007/s00114-011-0818-8","Venturia canescens","Ichneumonidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Wild-caught","Experimental","Terrestrial","France","Europe",NA,"More than 5 days","Adult","No","Constant","No","TEMP589B","Female","Female",25,-8,25,17,"Cool",-3.709133027,0.310917197,-2.289334632,0.189251272
"1574","Good","TEMP589",548,9,"4C","Foray, V.et al.",2011,"Differential thermal performance curves in response to different habitats in the parasitoid Venturia canescens","10.1007/s00114-011-0818-8","Venturia canescens","Ichneumonidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Wild-caught","Experimental","Terrestrial","France","Europe",NA,"More than 5 days","Adult","No","Constant","No","TEMP589B","Female","Female",25,5,25,30,"Warm",-3.381894424,0.286249819,0.44061332,0.120910557
"1585","Good","TEMP595",555,10,"4C","Franke, K.; Fischer, K. m. m.",2013,"Effects of inbreeding and temperature stress on life history and immune function in a butterfly","10.1111/jeb.12064","Bicyclus anynana","Nymphalidae","Insecta","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Mix","Yes","Constant","No","TEMP595","Female","Female",27,-26,27,1,"Cool",-0.234135434,0.076105597,-0.358437367,0.076729817
"1586","Good","TEMP595",555,10,"4C","Franke, K.; Fischer, K. m. m.",2013,"Effects of inbreeding and temperature stress on life history and immune function in a butterfly","10.1111/jeb.12064","Bicyclus anynana","Nymphalidae","Insecta","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"< 24 hours","Mix","Yes","Constant","No","TEMP595","Female","Female",27,12,27,39,"Warm",-0.387922114,0.07691631,-0.219605993,0.076049727
"1587","Good","TEMP610",61,NA,"1A","Gadino & Walton, 2012",2012,"Temperature-related development and population parameters for Typhlodromus pyri (Acari: Phytoseiidae) found in Oregon vineyards","10.1007/s10493-012-9562-9","Typhlodromus pyri","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP610A","Female","Female",22,-5,20,15,"Cool",-1.494390062,0.145302404,0.375664118,0.116245763
"1588","Good","TEMP610",61,NA,"1A","Gadino & Walton, 2012",2012,"Temperature-related development and population parameters for Typhlodromus pyri (Acari: Phytoseiidae) found in Oregon vineyards","10.1007/s10493-012-9562-9","Typhlodromus pyri","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP610A","Female","Female",22,-2.5,20,17.5,"Cool",-1.2185513,0.122211363,-0.20537502,0.103715358
"1589","Good","TEMP610",61,NA,"1A","Gadino & Walton, 2012",2012,"Temperature-related development and population parameters for Typhlodromus pyri (Acari: Phytoseiidae) found in Oregon vineyards","10.1007/s10493-012-9562-9","Typhlodromus pyri","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP610A","Female","Female",22,5,20,25,"Warm",0.372130074,0.092670954,-0.446449653,0.093362278
"1590","Good","TEMP610",61,NA,"1A","Gadino & Walton, 2012",2012,"Temperature-related development and population parameters for Typhlodromus pyri (Acari: Phytoseiidae) found in Oregon vineyards","10.1007/s10493-012-9562-9","Typhlodromus pyri","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP610A","Female","Female",22,10,20,30,"Warm",-1.154040595,0.159337665,-0.968314502,0.153178654
"1599","Good","TEMP624",67,NA,"1A","Gao & Zou, 2001",2001,"Biology, life table and host specificity of the mushroom pest, Brennandania lambi (Acari : Pygmephoroidea","10.1023/A:1010651509355","Brennandania lambi","Microdispidae","Arachnida","Arthropoda","Female","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP624A","Female","Female",22.5,-8,24,16,"Cool",0.035850646,0.066677377,0.552173646,0.069207464
"1600","Good","TEMP624",67,NA,"1A","Gao & Zou, 2001",2001,"Biology, life table and host specificity of the mushroom pest, Brennandania lambi (Acari : Pygmephoroidea","10.1023/A:1010651509355","Brennandania lambi","Microdispidae","Arachnida","Arthropoda","Female","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP624A","Female","Female",22.5,-4,24,20,"Cool",0.006693184,0.06666704,0.109948433,0.066767405
"1601","Good","TEMP624",67,NA,"1A","Gao & Zou, 2001",2001,"Biology, life table and host specificity of the mushroom pest, Brennandania lambi (Acari : Pygmephoroidea","10.1023/A:1010651509355","Brennandania lambi","Microdispidae","Arachnida","Arthropoda","Female","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP624A","Female","Female",22.5,4,24,28,"Warm",-0.057612783,0.066694327,-0.10496897,0.066758487
"1602","Good","TEMP629",70,NA,"1A","Garrad et al, 2015",2015,"The effect of rearing temperature on development, body size, energetics and fecundity of the diamondback moth","10.1017/S000748531500098X","Plutella xylostella","Plutellidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","No","TEMP629A","Female","Yes",23,-15,25,10,"Cool",-1.11710886,0.100685693,1.884591033,0.125726466
"1604","Good","TEMP629",70,NA,"1A","Garrad et al, 2015",2015,"The effect of rearing temperature on development, body size, energetics and fecundity of the diamondback moth","10.1017/S000748531500098X","Plutella xylostella","Plutellidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","No","TEMP629A","Female","Yes",23,-5,25,20,"Cool",-0.43349284,0.102781855,1.284604434,0.120614691
"1605","Good","TEMP629",70,NA,"1A","Garrad et al, 2015",2015,"The effect of rearing temperature on development, body size, energetics and fecundity of the diamondback moth","10.1017/S000748531500098X","Plutella xylostella","Plutellidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","No","TEMP629A","Female","Yes",23,5,25,30,"Warm",-0.038949766,0.166690371,-2.004814191,0.229467916
"1606","Good","TEMP634",578,10,"5A","Geister, T. L.et al.",2008,"Effects of temperature on reproductive output, egg provisioning, juvenile hormone and vitellogenin titres in the butterfly Bicyclus anynana","10.1016/j.jinsphys.2008.06.002","Bicyclus anynana","Nymphalidae","Insecta","Arthropoda","Female","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP634A","Female","Female",27,-7,27,20,"Cool",0.572610614,0.040037899,0.999053096,0.04326013
"1639","Good","TEMP653",597,10,"5A","Goebel, R.",2006,"The effect of temperature on development and reproduction of the sugarcane stalk borer, Chilo sacchariphagus (Bojer 1856) (Lepidoptera : Crambidae)",NA,"Chilo sacchariphagus","Crambidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","RĂ�Â�Ă‚Â©union","Africa",NA,"More than 5 days","Adult","No","Constant","No","TEMP653A","Female","Female",25,-10,25,15,"Cool",-5.85080062,0.349988727,5.174523406,0.292633532
"1640","Good","TEMP653",597,10,"5A","Goebel, R.",2006,"The effect of temperature on development and reproduction of the sugarcane stalk borer, Chilo sacchariphagus (Bojer 1856) (Lepidoptera : Crambidae)",NA,"Chilo sacchariphagus","Crambidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","RĂ�Â�Ă‚Â©union","Africa",NA,"More than 5 days","Adult","No","Constant","No","TEMP653A","Female","Female",25,-8,25,17,"Cool",-3.077182354,0.112514904,4.977032611,0.208151168
"1641","Good","TEMP653",597,10,"5A","Goebel, R.",2006,"The effect of temperature on development and reproduction of the sugarcane stalk borer, Chilo sacchariphagus (Bojer 1856) (Lepidoptera : Crambidae)",NA,"Chilo sacchariphagus","Crambidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","RĂ�Â�Ă‚Â©union","Africa",NA,"More than 5 days","Adult","No","Constant","No","TEMP653A","Female","Female",25,-5,25,20,"Cool",-0.897393406,0.065368766,4.425687797,0.190578083
"1642","Good","TEMP653",597,10,"5A","Goebel, R.",2006,"The effect of temperature on development and reproduction of the sugarcane stalk borer, Chilo sacchariphagus (Bojer 1856) (Lepidoptera : Crambidae)",NA,"Chilo sacchariphagus","Crambidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","RĂ�Â�Ă‚Â©union","Africa",NA,"More than 5 days","Adult","No","Constant","No","TEMP653A","Female","Female",25,5,25,30,"Warm",-0.396429849,0.066545911,0.152799698,0.065616683
"1643","Good","TEMP653",597,10,"5A","Goebel, R.",2006,"The effect of temperature on development and reproduction of the sugarcane stalk borer, Chilo sacchariphagus (Bojer 1856) (Lepidoptera : Crambidae)",NA,"Chilo sacchariphagus","Crambidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","RĂ�Â�Ă‚Â©union","Africa",NA,"More than 5 days","Adult","No","Constant","No","TEMP653A","Female","Female",25,10,25,35,"Warm",-4.354397014,0.18978,-0.610927659,0.064188509
"1704","Good","TEMP678",620,11,"C","Gould, J.et al.",2005,"Effect of temperature on development and population parameters of Copitarsia decolora (Lepidoptera : Noctuidae","10.1603/0046-225X-34.3.548","Copitarsia decolora","Noctuidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","Yes","Constant","No","TEMP678_A","Female","Female",23,-15.2,24.9,9.7,"Cool",0.089703947,0.050050292,0.369381429,0.050852767
"1705","Good","TEMP678",620,11,"C","Gould, J.et al.",2005,"Effect of temperature on development and population parameters of Copitarsia decolora (Lepidoptera : Noctuidae","10.1603/0046-225X-34.3.548","Copitarsia decolora","Noctuidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","Yes","Constant","No","TEMP678_A","Female","Female",23,-10.3,24.9,14.6,"Cool",0.600477075,0.052253579,0.002546104,0.050000041
"1706","Good","TEMP678",620,11,"C","Gould, J.et al.",2005,"Effect of temperature on development and population parameters of Copitarsia decolora (Lepidoptera : Noctuidae","10.1603/0046-225X-34.3.548","Copitarsia decolora","Noctuidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","Yes","Constant","No","TEMP678_A","Female","Female",23,-4.8,24.9,20.1,"Cool",0.653280696,0.052667348,-0.140391047,0.050123185
"1707","Good","TEMP678",620,11,"C","Gould, J.et al.",2005,"Effect of temperature on development and population parameters of Copitarsia decolora (Lepidoptera : Noctuidae","10.1603/0046-225X-34.3.548","Copitarsia decolora","Noctuidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","Yes","Constant","No","TEMP678_A","Female","Female",23,4.6,24.9,29.5,"Warm",-0.597177811,0.04090672,-0.453784719,0.040221717
"1708","Good","TEMP678",620,11,"C","Gould, J.et al.",2005,"Effect of temperature on development and population parameters of Copitarsia decolora (Lepidoptera : Noctuidae","10.1603/0046-225X-34.3.548","Copitarsia decolora","Noctuidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","Yes","Constant","No","TEMP678_A","Female","Female",23,9.6,24.9,34.5,"Warm",-0.841401033,0.048933087,-0.785867774,0.048431045
"1730","Good","TEMP698",639,11,"24B","Gu, H.; Danthanarayana, W. m. a. (a)",2000,"Genetic variation in the life-history traits of Epiphyas postvittana: population structure and local adaptation","10.1046/j.1442-9993.2000.01051.x","Epiphyas postvittana","Tortricidae","Insecta","Arthropoda","Both","Internal","No","Lab","Wild-caught","Experimental","Terrestrial","Australia","Australasia",NA,"More than 5 days","Juvenile","No","Constant","Yes (>4 days)","TEMP698A","Female","Yes",NA,5,23,28,"Warm",-1.183500335,0.006974002,-0.162012041,0.005954399
"1731","Good","TEMP698",639,11,"24B","Gu, H.; Danthanarayana, W. m. a. (a)",2000,"Genetic variation in the life-history traits of Epiphyas postvittana: population structure and local adaptation","10.1046/j.1442-9993.2000.01051.x","Epiphyas postvittana","Tortricidae","Insecta","Arthropoda","Both","Internal","No","Lab","Wild-caught","Experimental","Terrestrial","Australia","Australasia",NA,"More than 5 days","Juvenile","No","Constant","Yes (>4 days)","TEMP698B","Female","Yes",NA,5,23,28,"Warm",-1.030261635,0.007811667,-1.228721931,0.008198149
"1757","Good","TEMP714",72,NA,"1B","Hagley & Barber, 1991",1991,"MORTALITY, FECUNDITY AND LONGEVITY OF PARASITOIDS OF THE SPOTTED TENTIFORM LEAFMINER, PHYLLONORYCTER-BLANCARDELLA [LEP, GRACILLARIIDAE] AT CONSTANT TEMPERATURES IN THE LABORATORY","10.1007/BF02377946","Pholetesor ornigis","Braconidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Wild-caught","Experimental","Terrestrial","Canada","North America",NA,"1 to 5 days","Adult","No","Constant","No","TEMP714A","Female","Female",23,-9,24,15,"Cool",-0.33686891,0.081134807,1.435014094,0.125740818
"1758","Good","TEMP714",72,NA,"1B","Hagley & Barber, 1991",1991,"MORTALITY, FECUNDITY AND LONGEVITY OF PARASITOIDS OF THE SPOTTED TENTIFORM LEAFMINER, PHYLLONORYCTER-BLANCARDELLA [LEP, GRACILLARIIDAE] AT CONSTANT TEMPERATURES IN THE LABORATORY","10.1007/BF02377946","Pholetesor ornigis","Braconidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Wild-caught","Experimental","Terrestrial","Canada","North America",NA,"1 to 5 days","Adult","No","Constant","No","TEMP714A","Female","Female",23,-4,24,20,"Cool",-0.34211496,0.081170426,-0.322188177,0.101297565
"1759","Good","TEMP714",72,NA,"1B","Hagley & Barber, 1991",1991,"MORTALITY, FECUNDITY AND LONGEVITY OF PARASITOIDS OF THE SPOTTED TENTIFORM LEAFMINER, PHYLLONORYCTER-BLANCARDELLA [LEP, GRACILLARIIDAE] AT CONSTANT TEMPERATURES IN THE LABORATORY","10.1007/BF02377946","Pholetesor ornigis","Braconidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Wild-caught","Experimental","Terrestrial","Canada","North America",NA,"1 to 5 days","Adult","No","Constant","No","TEMP714A","Female","Female",23,9,24,33,"Warm",-0.97503022,0.089506839,-1.707457139,0.136442624
"1772","Good","TEMP793",719,13,"6B","Hoban, J.et al.",2016,"Effects of Temperature and Photoperiod on the Reproductive Biology and Diapause of Oobius agrili (Hymenoptera: Encyrtidae), an Egg Parasitoid of Emerald Ash Borer (Coleoptera: Buprestidae","10.1093/ee/nvw034","Oobius agrili","Encyrtidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","China","Asia",NA,"More than 5 days","Adult","No","Constant","Yes (< 4 days)","TEMP793A","Female","Female",25,10,20,30,"Warm",-0.28643859,0.077739182,-2.804026432,0.155130378
"1773","Good","TEMP793",719,13,"6B","Hoban, J.et al.",2016,"Effects of Temperature and Photoperiod on the Reproductive Biology and Diapause of Oobius agrili (Hymenoptera: Encyrtidae), an Egg Parasitoid of Emerald Ash Borer (Coleoptera: Buprestidae","10.1093/ee/nvw034","Oobius agrili","Encyrtidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","China","Asia",NA,"More than 5 days","Adult","No","Constant","Yes (< 4 days)","TEMP793B","Female","Female",25,10,20,30,"Warm",-0.053919699,0.076951996,-1.223592044,0.091815192
"1774","Good","TEMP800",724,13,NA,"Hoffmann, K. H.",1974,"EFFECTS OF CONSTANT AND VARYING TEMPERATURES ON LIFE-SPAN, FOOD UTILIZATION AND FERTILITY OF ADULT CRICKETS, GRYLLUS-BIMACULATUS","10.1007/BF00345094","Gryllus bimaculatus","Gryllidae","Insecta","Arthropoda","Both","Internal","No","Lab","lab/commercial","Experimental","Terrestrial","Switzerland","Europe",NA,"More than 5 days","Adult","Yes","Both","No","TEMP800A","Female","Yes",27,-22,27,5,"Cool",-2.320523261,0.22308047,-3.954020151,0.196952295
"1775","Good","TEMP800",724,13,NA,"Hoffmann, K. H.",1974,"EFFECTS OF CONSTANT AND VARYING TEMPERATURES ON LIFE-SPAN, FOOD UTILIZATION AND FERTILITY OF ADULT CRICKETS, GRYLLUS-BIMACULATUS","10.1007/BF00345094","Gryllus bimaculatus","Gryllidae","Insecta","Arthropoda","Both","Internal","No","Lab","lab/commercial","Experimental","Terrestrial","Switzerland","Europe",NA,"More than 5 days","Adult","Yes","Both","No","TEMP800A","Female","Yes",27,-17,27,10,"Cool",-2.320523261,0.22308047,-1.521635386,0.085961452
