--,Decision,Exclusion reason,Paper code,Paper number,Screening set,Extraction set,Paper,Publication year,Title,DOI,Species latin,Family,Class,Phylum,Sex exposed,Fertilisation mode,Agricultural importance,Lab or field,Animal origin,Stressor variation,Habitat,Country of origin,Continent of origin,Ocean/sea of origin,Exposure duration,Life-stage of animal,Lowest temp below 10°C?,Constant or fluctuating?,Acclimated?,Temperature,Humidity,pH,Salinity,Radiation,Number of stressors,Interaction effects?,Other stressors,Gamete traits,Gonad traits,Reproductive output,Mating behaviour,Survival,Comments,Number of projects,#SURVIVAL,#AQUATIC,#WILD,#SPERM,#COLD,#INTERACTION,...52
Jasper Rees,Exclude,NA,TEMP2215,1914,37,17B,Xie et al,2014,Changes in Life History Parameters of Rhopalosiphum maidis (Homoptera: Aphididae) Under Four Different Elevated Temperature and CO2 Combinations,10.1603/EC13302,Rhopalosiphum maidis,Aphididae,Insecta,Arthropoda,Parthenogenetic,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Fluctuating,Yes (multiple generations),Yes,No,No,No,No,1,NA,CO2,NA,NA,Fecundity,NA,No,"contains fluctuating temperatures, and CO2 stress",1,Yes,No,No,No,No,No,NA
Hester Weaving,Exclude,"Sample size not given for longevity, also includes population growth parameters",TEMP2239,1933,37,16A,Yazdanpanah et al,2019,"Effects of different temperatures on the demography of pistachio green stink-bug, Brachynema germariKolenati (Hemiptera: Pentatomidae), under laboratory conditions",10.25085/rsea.780405,Brachynema germari,Pentatomidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,Sample size not given (but could be estimated from DF or fertility rates do have N (just longegivity does not),1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,sample sizes for sperm exp not clear.,TEMP2269,1959,38,C,"Zeh, J. A.et al.",2014,Constant diurnal temperature regime alters the impact of simulated climate warming on a tropical pseudoscorpion,10.1038/srep03706,Cordylochernes scorpioides,Chernetidae,Arachnida,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,"Sperm number, sperm viability",Embryo production,Fecundity,NA,No,NA,2,Yes,No,No,Yes,No,No,NA
Ben Cole,Exclude,NA,TEMP2317,1997,38,18B,"Zhu, F.-l.et al.",2015,Effect of temperature on life table parameters of Leptocybe invasa (Hymenoptera: Eulophidae,10.1111/aen.12094,Leptocybe invasa,Eulophidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,Eggs in oviduct,NA,Fecundity,NA,No,NA,1,Yes,No,No,No,No,No,NA
Ben Cole,Exclude,NA,TEMP2329,2004,38,18B,"Zuim, V.et al.",2017,Thermal Requirements and Performance of the Parasitoid Trichogramma pretiosum (Hymenoptera: Trichogrammatidae) on Helicoverpa armigera (Lepidoptera: Noctuidae) Eggs Under Variable Temperatures,10.1093/ee/nvx132,Trichogramma pretiosum,Trichogrammatidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,1,Yes,No,No,No,No,No,NA
Abhishek,Exclude,NA,TEMP312,30,T3,1C,"Cardoso et al, 2018",2018,"Interactive effects of increased temperature, pCO2 and the synthetic progestin levonorgestrel on the fitness and breeding of the amphipod Gammarus locusta",10.1016/j.envpol.2017.10.065,Gammarus locusta,Gammaridae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Aquatic,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,Yes,No,No,2,Yes,Pollutant,NA,NA,"Fecundity, % of total adults reproducing",NA,No,NA,3,Yes,Yes,No,No,No,Yes,NA
Valentina,Exclude,NA,TEMP372,388,6,4A,"Chen, Z. Q.et al.",2010,Effects of copulation temperature on female reproductive output and longevity in the wolf spider Pardosa astrigera (Araneae: Lycosidae),10.1016/j.jtherbio.2010.01.002,Pardosa astrigera,Lycosidae,Arachnida,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Terrestrial,China,Asia,NA,Less than 24 hrs,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,No temp/fecundity data,TEMP414,425,7,C,"Colinet, H.; Hance, T. m. f.",2009,Male Reproductive Potential of Aphidius colemani (Hymenoptera: Aphidiinae) Exposed to Constant or Fluctuating Thermal Regimens,10.1603/022.038.0130,Aphidus colemani,Braconidae,Insecta,Arthropoda,Males only,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Pupae,Yes,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,NA,NA,No,emergence rate of parasitoid from mummy,2,Yes,No,No,No,Yes,No,NA
Ben Cole,Exclude,NA,TEMP424,434,7,18,"COOMBS, C.; WOODROFFE, G.",1983,"THE EFFECT OF TEMPERATURE UPON THE LONGEVITY, FECUNDITY AND CIRCANNUAL DEVELOPMENT OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE",10.1016/0022-474X(83)90042-5,Anthrenus sarnicus,Dermestidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,Yes,No,No,No,2,No,No,NA,NA,Egg number,NA,No,NA,1,Yes,No,No,No,No,No,NA
Ben Cole,Exclude,NA,TEMP442,449,7,18,"Cui, J.et al.",2018,"Effect of Temperature on the Development, Survival, and Fecundity of Heliothis viriplaca (Lepidoptera: Noctuidae)",10.1093/jee/toy151,Heliothis viriplaca,Noctuidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,No,NA,1,Yes,No,No,No,No,No,NA
Valentina,Exclude,NA,TEMP489,481,8,4B,"Diaz, B. M.; Fereres, A.",2005,Life table and population parameters of Nasonovia ribisnigri (Homoptera : aphididae) at different constant temperatures,10.1603/0046-225X-34.3.527,Nasonovia ribisnigri,Aphididae,Insecta,Arthropoda,Parthenogenetic,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,1,Yes,No,No,No,No,No,NA
Marco Graziano,Exclude,NA,TEMP514,501,9,20B,"Dubey, A.et al.",2016,"Influence of temperature on reproductive biology and phenotype of a ladybird, Menochilus sexmaculatus (Fabricius) (Coleoptera: Coccinellidae)",10.1016/j.jtherbio.2016.03.011,Menochilus sexmaculatus,Coccinellidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,India,Asia,NA,More than 5 days,Adult,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,"Fecundity, Egg viability",NA,No,"Please note that for this study there are 4 rows for Fecundity and 4 for egg-viability because authors were testing the effect of temperatures on different wild morphs crosses of the same species and reporting data for each of those (e.g. melanic males x orange females, orange males x melanic females, etc)",2,Yes,No,No,No,Yes,No,NA
Abhishek,Exclude,NA,TEMP579,59,T6,1B,"Fischer et al, 2003b",2003,Plasticity in butterfly egg size: Why larger offspring at lower temperatures?,10.1890/02-0733,Bicyclus anynana,Nymphalidae,Insecta,Arthropoda,Females only,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,Egg size,NA,Fecundity,NA,No,NA,1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,Natural variation in temp,TEMP584,543,9,C,"Fletcher, K.et al.",2013,"Effect of climate change on breeding phenology, clutch size and chick survival of an upland bird",10.1111/ibi.12055,Lagopus lagopus,Phasianidae,Aves,Chordata,Both sexes,Internal,No,Field,Wild,Natural,Terrestrial,UK,Europe,NA,Natural variation,Adult,No,Fluctuating,NA,Yes,No,No,No,No,1,NA,No,NA,NA,Clutch size,NA,No,NA,2,Yes,No,Yes,No,No,No,NA
Abhishek,Exclude,NA,TEMP718,74,T8,1C,"Hakalahti et al, 2004",2004,Ectoparasitic Argulus coregoni (Crustacea : Branchiura) hedge their bets - studies on egg hatching dynamics,10.1111/j.0030-1299.2004.13213.x,Argulus coregoni,Argulidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Farmed,Natural,Aquatic,Finland,Europe,NA,Natural variation,Adult,Yes,Constant,NA,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,No,NA,2,No,Yes,No,No,Yes,No,NA
Mareike Koppik,Exclude,NA,TEMP723,656,12,6A,"Hamilton, J. G.; Zalucki, M. P.",1991,"EFFECT OF TEMPERATURE ON DEVELOPMENT RATE, SURVIVAL AND FECUNDITY OF COTTON TIPWORM, CROCIDOSEMA-PLEBEJANA ZELLER (LEPIDOPTERA, TORTRICIDAE)",10.1071/ZO9910191,Crocidosema plebejana,Tortricidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,"Egg number, Proportion of reproductive females",NA,No,contains population growth estimates,1,Yes,No,No,No,No,No,NA
Ben Cole,Exclude,NA,TEMP795,721,13,18,"Hoddle, M. S.",2002,Developmental and reproductive biology of Scirtothrips perseae (Thysanoptera : Thripidae): a new avocado pest in California,10.1079/BER2002169,Scirtothrips perseae,Thripidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,USA,North America,NA,Mix,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,1,Yes,No,No,No,No,No,NA
Ben Cole,Exclude,NA,TEMP796,722,13,18,"Hoddle, M.et al.",2000,Developmental and reproductive biology of a predatory Franklinothrips n. sp (Thysanoptera : Aeolothripidae,10.1006/bcon.1999.0809,Franklinothrips n. sp.,Aeolothripidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Terrestrial,USA,North America,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,Species undescribed,1,Yes,No,No,No,No,No,NA
Mareike Koppik,Exclude,NA,TEMP814,734,13,6B,"Hougardy, E.et al.",2019,Comparison of thermal performances of two Asian larval parasitoids of Drosophila suzukii,10.1016/j.biocontrol.2019.104000,"Ganaspis brasiliensis, Leptopilina japonica",Figitidae,Insecta,Arthropoda,Females only,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,1 to 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,1,Yes,No,No,No,No,No,NA
Alessio,Exclude,NA,TEMP822,740,13,2,"Huang, L. H.et al.",2007,"Impact of mild temperature hardening on thermo tolerance, fecundity, and Hsp gene expression in Liriomyza huidobrensis",10.1016/j.jinsphys.2007.06.011,Liriomyza huidobrensis,Agromyzidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Adult,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,2,Yes,No,No,No,Yes,No,NA
Graziella Iossa,Exclude,No SD,TEMP888,92,T10,25B,"Jacob & Fleming, 1984",1984,"SOME FURTHER OBSERVATIONS ON THE EFFECT OF TEMPERATURE ON THE FECUNDITY AND LONGEVITY OF DERMESTES-LARDARIUS L (COLEOPTERA, DERMESTIDAE",10.1016/0022-474X(84)90029-8,Dermestes lardarius,Dermestidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,No,NA,1,Yes,No,No,No,No,No,NA
Alessio,Exclude,NA,TEMP89,164,2,2B,"Aregbesola, O. Z.et al.",2020,Life history and temperature-dependence of cassava-colonising populations of Bemisia tabaci,10.1007/s10340-020-01249-z,Bemisia tabaci,Aleyrodidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,1,Yes,No,No,No,No,No,NA
Marco Graziano,Exclude,NA,TEMP914,100,T10,20A,"Jigyasu & Singh, 2010",2010,"Effect of environmental factors on the fecundity, hatchability and survival of snail Lymnaea (Radix) acuminata (Lamarck): vector of fascioliasis",10.2166/wh.2009.035,Lymnaea acuminata,Lymnaeidae,Gastropoda,Mollusca,Females only,Internal,No,Mix,Wild-caught,Natural,Aquatic,India,Asia,NA,1 to 5 days,Adult,No,Constant,No,Yes,No,Yes,No,No,2,No,"O2 concentration, water quality",NA,NA,Egg number,NA,No,"! Measures of pH, CO2 and dissolved O2 also present if neeeded for future screenings!   IMPORTANT:  survival measures have been excluded because are constantly equal to 100%, there are two rows at 35 °C because measures have been obtained during different seasons and belong to different samples.",2,Yes,Yes,No,No,No,No,NA
Mareike Koppik,Exclude,NA,TEMP916,801,15,6C,"Jimenez-Melero, R.et al.",2005,Embryonic and naupliar development of Eudiaptomus gracilis and Eudiaptomus graciloides at different temperatures: comments on individual variability,10.1093/plankt/fbi083,"Eudiaptomus gracilis, Eudiaptomus graciloides",Diaptomidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Aquatic,Germany,Europe,Schöhsee Lake,More than 5 days,Adult,Yes,Constant,Yes (< 4 days),Yes,No,No,No,No,1,NA,No,NA,NA,Clutch size,NA,No,mortality data are from a different study,3,Yes,Yes,No,No,Yes,No,NA
Jasper Rees,Exclude,NA,TEMP917,802,15,17,"Jin, S.et al. (a)",2019,Optimizing reproductive performance and embryonic development of red swamp crayfish Procambarus clarkii by manipulating water temperature,10.1016/j.aquaculture.2019.04.066,Procambarus clarkii,Cambaridae,Crustacea,Arthropoda,Both sexes,Internal,Other,Lab,Lab-reared,Experimental,Aquatic,NA,NA,NA,More than 5 days,Adult,No,Constant,Yes (> 4 days),Yes,No,No,No,No,1,NA,No,NA,NA,"Spawning rate, female fecundity",Duration from mating to spawning,No,data needs extracting from figure 4 (saved),2,Yes,Yes,No,No,No,No,NA
Claudia,Exclude,NA,TEMP934,817,15,7A,"Jorgensen, K. T.et al.",2006,Heat tolerance and the effect of mild heat stress on reproductive characters in Drosophila buzzatii males,10.1016/j.jtherbio.2005.11.026,Drosophila buzzatii,Drosophilidae,Insecta,Arthropoda,Males only,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Adult,No,Constant,Yes (mix),Yes,No,No,No,No,1,NA,No,NA,proportion sterile males,Number of offspring,mating ability,No,"different exposure times used, I took the longest",1,Yes,No,No,No,No,No,NA
Amber Chatten,Include,NA,HUM109,2073,40,19B,Gibbs et al.,2010,"Reproductive plasticity, ovarian dynamics and maternal effects in response to temperature and flight in Pararge aegeria",10.1016/j.jinsphys.2010.04.009,Pararge aegeria,Nymphalidae,Insecta,Arthropoda,Females only,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,NA,"Egg number, egg size",Ovariole length,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Jasper Rees,Exclude,sample sizes not clear,HUM13,2014,39,17A,"Aldawood et al., 2013",2013,Effects of Temperature on the Development of Ephestia cautella (Walker) (Pyralidae: Lepidoptera): A Case Study for its Possible Control Under Storage Conditions,NA,Ephestia cautella,Pyralidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Juvenile,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Ben Cole,Include,NA,HUM130,2084,40,18A,Honarparvar et al.,2012,"Effect of temperature on development and fecundity of the brown mite, Bryobia rubrioculus Scheuten (Acari: Tetranychidae)",10.4001/003.020.0109,Bryobia rubrioculus,Tetranychidae,Arachnida,Arthropoda,Females only,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Graziella Iossa,Exclude,sample sizes not clear,HUM134,2087,40,25A,Hussain et al.,2011,"Effect of Rearing Temperature and Humidity on Fecundity and Fertility of Silkworm, Bombyx mori L. (Lepidoptera: Bombycidae)",NA,Bombyx mori,Bombycidae,Insecta,Arthropoda,Both sexes,Internal,Other,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,Yes,No,No,No,2,No,No,NA,NA,Fecundity,NA,Yes,"11 separate lines of silk worm with three temperatures, fecundity (number of eggs) and fertility (eggs hatched) for each line",1,Yes,No,No,No,No,No,NA
Graziella Iossa,Exclude,Survival Curve,HUM138,2090,40,25A,Islam et al.,2020,Temperature impacts on the eggplant shoot and fruit borer Leucinodes orbonalis: a life table approach,10.1007/s42690-019-00086-7,Leucinodes orbonalis,Crambidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,"data for survival is on survival curves in Figures (2, 3 4)",1,Yes,No,No,No,No,No,NA
Graziella Iossa,Exclude,sample sizes not clear,HUM142,2094,40,25A,Jafarian & Jafari,2016,The effect of temperature on life history and demographic parameters of Eotetranychus frosti (Acari: Tetranychidae),10.11158/saa.21.7.9,Eotetranychus frosti,Tetranychidae,Arachnida,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Graziella Iossa,Include,NA,HUM148,2097,40,25A,Ju et al.,2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata",10.1673/031.011.0116,Corythucha ciliata,Tingidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,Male longevity not extractd because sample size varies,1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,Natural variation in temp,HUM149,2098,40,C,Junge-Berberovic,1996,Effect of thermal environment on life histories of free living Drosophila melanogaster and D-subobscura,10.1007/BF00334650,"Drosophila melanogaster, Drosophila suobscura",Drosophilidae,Insecta,Arthropoda,Both sexes,Internal,No,Field,Wild,Natural,Terrestrial,Switzerland,Europe,NA,Natural variation,Mix,Yes,Fluctuating,NA,Yes,Yes,No,No,No,2,No,No,NA,NA,Fecundity,NA,Yes,NA,3,Yes,No,Yes,No,Yes,No,NA
Graziella Iossa,Include,NA,HUM152,2100,40,25A,Kasap,2010,PREY-STAGE PREFERENCE AND POPULATION INCREASE OF THE PREDACEOUS MITE KAMPIMODROMUS ABERRANS (OUDEMANS) (ACARI: PHYTOSEIIDAE) ON TETRANYCHUS URTICAE KOCH (ACARI: TETRANYCHIDAE) UNDER LABORATORY CONDITIONS,10.1080/01647950903575341,Kampimodromus aberrans,Phytoseiidae,Arachnida,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Ben Cole,Exclude,No temp/fecundity data,HUM16,2016,39,18B,"Ali et al., 2018",2018,TRANSGENERATIONAL EFFECT OF INSECT GROWTH REGULATORS ON THE Trogoderma granarium (EVERTS) (COLEOPTERA: DERMESTIDAE) UNDER DIFFERENT ABIOTIC FACTORS,10.21162/PAKJAS/18.6077,Trogoderma granarium,Dermestidae,Insecta,Arthropoda,Females only,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Juvenile,No,Constant,No,Yes,Yes,No,No,No,2,Yes,Different growth inhibitors,NA,NA,Fecundity,NA,Yes,NA,2,Yes,No,No,No,No,Yes,NA
Fay Frost,Exclude,No SD,HUM160,2101,40,NA,Kitayama et al.,1979,"EFFECTS OF TEMPERATURE, HUMIDITY, AND SOYBEAN MATURITY ON LONGEVITY AND FECUNDITY OF THE ADULT MEXICAN BEAN BEETLE, EPILACHNA-VARIVESTIS COLEOPTERA, COCCINELLIDAE",10.1093/ee/8.3.458,Epilachna varivestis,Coccinellidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,more than 5 days,adults,no,constant,no,yes,yes,no,no,no,2,yes,plant stage,NA,NA,total number of eggs / number per cluster,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amber Chatten,Exclude,No sample size,HUM162,2103,40,19A,Kondur,2020,EFFECT OF STORAGE TEMPERATURE AND DURATION IN PUPAL STAGE ON EMERGENCE AND SOME BIOLOGICAL PARAMETERS OF HELICOVERPA ARMIGERA (HUBNER) (LEPIDOPTERA: NOCTUIDAE),NA,Helicoverpa armigera,Noctuidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Amber Chatten,Include,NA,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Females only,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,Yes,No,No,No,2,No,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Jasper Rees,Exclude,No sample size,HUM17,2017,39,17A,"Ali, 1982",1982,EFFECT OF TEMPERATURE AND HUMIDITY ON THE DEVELOPMENT AND FERTILITY-FECUNDITY OF ACRIDA-EXALTATA WALK,10.1007/BF03185018,Acrida exaltata,Acrididae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,Yes,No,No,No,2,No,No,NA,NA,"Number of egg pods, Eggs per egg pod",Number of copulations,Yes,NA,1,Yes,No,No,No,No,No,NA
